Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00356939260034095,0.00196506699960852,-0.0108917658080315,0,0,0,22.420044003057,0.476117353561752,-0.000645106112775582,-0.00605768166666681,0.457796236829657,1.71447659245473E-05,0.871403241555406,0,0,0,0,0,0,package://10000111A01/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://10000111A01/meshes/base_link.STL,,10000111-A-A1整机总成.sldasm-Part-11-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-5-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-7-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-10-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-8-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-9-1;30102415-A-A1外观-1/liftlink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-4-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-6-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-2-1;30102415-A-A1外观-1/baselink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-3-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_lift_link,0.0140233774105173,0.00145755127932601,-0.173084541505725,0,0,0,1.76961840167795,0.0242440147609195,-2.82985157777747E-06,-0.00404922423689823,0.0262783639115205,-7.81022072085021E-06,0.0148084827499339,0,0,0,0,0,0,package://10000111A01/meshes/waist_lift_link.STL,1,1,1,1,0,0,0,0,0,0,package://10000111A01/meshes/waist_lift_link.STL,,30102415-A-A1外观-1/liftlink^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-11-1;10000111-A-A1整机总成.sldasm-Part-541-1;10000111-A-A1整机总成.sldasm-Part-3-1;10000111-A-A1整机总成.sldasm-Part-561-1,waist_lift_link,waist_lift,waist_lift_joint,prismatic,-0.00175582372183403,0,0.699700050842079,0,0,0,base_link,0,0,-1,758,0.5,0,0.28,,,,,,,,
waist_pitch_link,0.00154806158739362,0.0494878083643873,-0.00307747771684985,0,0,0,0.787493947865743,0.00103003617426866,-2.20857488615071E-05,1.67345563520802E-07,0.00135191645247408,-8.30715669005792E-07,0.00134448545072817,0,0,0,0,0,0,package://10000111A01/meshes/waist_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/waist_pitch_link.STL,,10000111-A-A1整机总成.sldasm-Part-44-1;10000111-A-A1整机总成.sldasm-Part-558-1;10000111-A-A1整机总成.sldasm-Part-64-1;30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-14-1,waist_pitch_link,waist_pitch,waist_pitch_joint,revolute,0,0,0,1.57079632679437,0,0,waist_lift_link,0,0,1,84,1.88,-1.6,0.26,,,,,,,,
waist_yaw_link,-0.00147682207641853,0.000153894699982393,-0.311943848852323,0,0,0,2.01114384186603,0.0158248983504263,-1.537570069775E-05,0.0017135505588131,0.0142039537049234,-3.07541736715001E-06,0.0150781819066859,0,0,0,0,0,0,package://10000111A01/meshes/waist_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://10000111A01/meshes/waist_yaw_link.STL,,30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-18-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-15-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-19-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-17-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-16-1;10000111-A-A1整机总成.sldasm-Part-50-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-21-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-22-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-23-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-20-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-24-1;30102415-A-A1外观-1/bodyyaw^30102415-A-A1外观-1/30102415-A-A1外观.sldasm-Part-25-1,waist_yaw_link,waist_lift,waist_yaw_joint,revolute,0,0.0903000000509897,0,1.57079632679543,0,0,waist_pitch_link,0,0,1,50,1.88,-3.07,3.07,,,,,,,,
left_arm_base_link,7.24098822302288E-06,1.25325940565357E-05,0.0159100880840899,0,0,0,0.388729029435206,0.000424519558264041,-8.52726196219603E-07,-2.97209692191101E-08,0.000425504168866943,-5.14913817782958E-08,0.000782224312575641,0,0,0,0,0,0,package://10000111A01/meshes/left_arm_base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_arm_base_link.STL,,10000111-A-A1整机总成.sldasm-Part-167-2,left_arm_base_link,left_shoulder_pitch,left_arm_base_joint,fixed,0,-0.126250000234359,-0.273696900904838,1.57079632156261,-1.5707963267949,0,waist_yaw_link,0,0,0,,,,,,,,,,,,
left_shoulder_pitch_link,0.0182669361151433,0.000521335917020194,-0.020172165286295,0,0,0,0.277865854689292,0.000589099495966372,1.52481997036721E-06,0.000110202576580387,0.000759599583669471,2.75191805044551E-06,0.00048531618958767,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_pitch_link.STL,,10000111-A-A1整机总成.sldasm-Part-557-1,left_shoulder_pitch_link,left_shoulder_pitch,left_shoulder_pitch_joint,revolute,0,0,0.157999272023678,0,0,0,left_arm_base_link,0,0,-1,30,3.142,-3,3,,,,,,,,
left_shoulder_roll_link,-0.00180086293521564,0.09476312627884,-0.00235291793831338,0,0,0,0.44830400800954,0.00162211831102042,3.63600389795258E-05,-3.20164801907085E-06,0.000474677799351389,3.77171292628028E-05,0.00186348220086649,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_roll_link.STL,,10000111-A-A1整机总成.sldasm-Part-555-1;10000111-A-A1整机总成.sldasm-Part-553-1,left_shoulder_roll_link,left_shoulder_roll,left_shoulder_roll_joint,revolute,0.0299038337651718,0,0,1.57079632679472,1.5707963267949,0,left_shoulder_pitch_link,0,0,1,30,3.142,-0.78,2.5,,,,,,,,
left_shoulder_yaw_link,-1.17735612316094E-05,-0.00225407671741606,-0.0284502738171974,0,0,0,0.189499805067082,0.000436108549661605,-5.69651085260964E-09,1.61496944731486E-07,0.000436621847523997,-1.27126459542723E-05,0.000192717326157531,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_shoulder_yaw_link.STL,,10000111-A-A1整机总成.sldasm-Part-562-1,left_shoulder_yaw_link,left_shoulder_yaw,left_shoulder_yaw_joint,revolute,0,0.290000000140008,0,1.57079632679432,-1.5707963267949,0,left_shoulder_roll_link,0,0,1,9.6,3.142,-3,3,,,,,,,,
left_elbow_link,8.63027118780391E-06,0.0296252404717494,0.00379707940423279,0,0,0,0.129249035250594,0.000229862712913065,1.75096722573216E-08,-3.2496836374942E-08,0.000102363274588362,-2.44616325701263E-05,0.000234006761513083,0,0,0,0,0,0,package://10000111A01/meshes/left_elbow_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_elbow_link.STL,,10000111-A-A1整机总成.sldasm-Part-81-2;10000111-A-A1整机总成.sldasm-Part-28-1,left_elbow_link,left_elbow,left_elbow_joint,revolute,0,0,0,1.5707963267949,0,0,left_shoulder_yaw_link,0,0,1,9.6,3.142,-2.2,2.2,,,,,,,,
left_wrist_yaw_link,-1.08208090821016E-07,-0.00162785722374936,-0.0361696370082054,0,0,0,0.151373722026071,0.000346341207768029,4.89797569092069E-09,-3.80726930877702E-10,0.000333599193123511,-8.96324727192433E-06,0.000133744380396278,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_yaw_link.STL,,10000111-A-A1整机总成.sldasm-Part-75-2,left_wrist_yaw_link,left_wrist_yaw,left_wrist_yaw_joint,revolute,0,0.19800000000001,0,-1.57079632679444,0,0,left_elbow_link,0,0,1,5,3.142,-3,3,,,,,,,,
left_wrist_pitch_link,0.0396461230043604,-0.00225105418739036,-0.00205796477165932,0,0,0,0.148873113491248,0.000189311734777076,-9.75043705176456E-06,-6.14977405578979E-05,0.000278459929969073,3.81665611746145E-06,0.000241473029114059,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_pitch_link.STL,,10000111-A-A1整机总成.sldasm-Part-161-1;10000111-A-A1整机总成.sldasm-Part-135-1,left_wrist_pitch_link,left_wrist_pitch,left_wrist_pitch_joint,revolute,0,0,0,1.57079632156308,-1.5707963267949,0,left_wrist_yaw_link,0,0,1,5,3.142,-1.9,1.9,,,,,,,,
left_wrist_roll_link,0.0326847186128045,0.00059168936405285,0.00156758357103493,0,0,0,0.136940657793582,0.000113485128561542,2.57547179058599E-07,-2.26829658677581E-05,0.000114482079433328,1.83103934718111E-08,8.79926418562692E-05,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/left_wrist_roll_link.STL,,NONE-8-1;10000111-A-A1整机总成.sldasm-Part-131-1;10000111-A-A1整机总成.sldasm-Part-130-2,left_wrist_roll_link,left_wrist_roll,left_wrist_roll_joint,revolute,0.0799997418256148,0,0,1.57079632679483,0,0,left_wrist_pitch_link,0,0,1,5,3.142,-1.6,1.6,,,,,,,,
left_arm_ee_link,1.43984002498598E-09,-0.000105105209542433,0.0519999999139813,0,0,0,7.8539816339744E-09,6.59407208019102E-16,1.07033244802636E-34,1.89453790141972E-23,6.59407208019102E-16,3.66985281294653E-27,9.81747704246845E-18,0,0,0,0,0,0,package://10000111A01/meshes/left_arm_ee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://10000111A01/meshes/left_arm_ee_link.STL,,Mirror1-2,left_arm_ee_link,left_wrist_yaw,left_arm_ee_joint,fixed,0.0657000000220663,0,0,-2.2080160059818,-1.57079627967329,-0.933576647607994,left_wrist_roll_link,0,0,0,,,,,,,,,,,,
right_arm_base_link,7.23972091321023E-06,1.25426437183052E-05,0.0160151929373777,0,0,0,0.388729029435203,0.000424519385949576,-8.52626690514203E-07,-2.9715766020457E-08,0.0004255043411814,-5.14943846203788E-08,0.000782224312575635,0,0,0,0,0,0,package://10000111A01/meshes/right_arm_base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/right_arm_base_link.STL,,10000111-A-A1整机总成.sldasm-Part-167-1,right_arm_base_link,right_shoulder_pitch,right_arm_base_joint,fixed,0,0.126249999765643,-0.273696900904982,1.57079633202718,-1.5706953408009,3.14159265358979,waist_yaw_link,0,0,0,,,,,,,,,,,,
right_shoulder_pitch_link,0.0182555149510062,-0.000518567767560207,-0.0201864734065451,0,0,0,0.277522359174293,0.000588567974956983,-1.50084711666374E-06,0.00011008478494181,0.000758828293287388,-2.73253337293981E-06,0.000484989574812721,0,0,0,0,0,0,package://10000111A01/meshes/right_shoulder_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://10000111A01/meshes/right_shoulder_pitch_link.STL,,10000111-A-A1整机总成.sldasm-Part-166-1,right_shoulder_pitch_link,right_shoulder_pitch,right_shoulder_pitch_joint,revolute,0,0,0.158105104853303,0,0,0,right_arm_base_link,0,0,-1,30,3.142,-3,3,,,,,,,,
